事件 ID	选项 ID	类型	轨道	年龄／人物／状态前置	选择前共同事实	分支后新增事实	实际效果	延迟后果	卡牌互动	敏感表达标签	人工结论
secret_37		familySecret	origin	年龄 36 起；人物 []；门槛 {"all":[],"any":[],"none":[]}	密码交给家人并不等于账户所有权转移。	密码交给家人并不等于账户所有权转移。	[{"type":"add","target":"pressures.family","value":3},{"type":"add","target":"relationships.originBond","value":-1},{"type":"tag","target":"history","value":"secret:37"}]	无	无	无	三代理混排复核完成；已发现项已修正
secret_38		familySecret	origin	年龄 20 起；人物 []；门槛 {"all":[],"any":[],"none":[]}	一叠收据证明那几年家里反复搬家，并非一直住在原来的房子。	一叠收据证明那几年家里反复搬家，并非一直住在原来的房子。	[{"type":"add","target":"pressures.family","value":5},{"type":"add","target":"relationships.originBond","value":-2},{"type":"tag","target":"history","value":"secret:38"}]	无	无	住房债务	三代理混排复核完成；已发现项已修正
secret_39		familySecret	origin	年龄 27 起；人物 []；门槛 {"all":[],"any":[],"none":[]}	转账路径还在，追回可能性却不能靠一句保证。	转账路径还在，追回可能性却不能靠一句保证。	[{"type":"add","target":"originHousehold.debt","value":12000},{"type":"add","target":"pressures.family","value":6},{"type":"tag","target":"history","value":"secret:39"}]	无	无	无	三代理混排复核完成；已发现项已修正
secret_40		familySecret	origin	年龄 41 起；人物 []；门槛 {"all":[],"any":[],"none":[]}	付款人、登记人和实际还款人各不相同，任何人都不能凭口头说法直接处置。	付款人、登记人和实际还款人各不相同，任何人都不能凭口头说法直接处置。	[{"type":"add","target":"pressures.family","value":5},{"type":"add","target":"relationships.originBond","value":-2},{"type":"tag","target":"history","value":"secret:40"}]	无	无	无	三代理混排复核完成；已发现项已修正
secret_41		familySecret	origin	年龄 18 起；人物 []；门槛 {"all":[],"any":[],"none":[]}	证书只覆盖短期培训，不能支持家里一直使用的职业称谓。	证书只覆盖短期培训，不能支持家里一直使用的职业称谓。	[{"type":"add","target":"development.routeKnowledge","value":4},{"type":"add","target":"relationships.originBond","value":-1},{"type":"tag","target":"history","value":"secret:41"}]	无	无	无	三代理混排复核完成；已发现项已修正
secret_42		familySecret	origin	年龄 44 起；人物 []；门槛 {"all":[],"any":[],"none":[]}	没有遗嘱或登记支持，承诺不能先计入家里的资产。	没有遗嘱或登记支持，承诺不能先计入家里的资产。	[{"type":"add","target":"pressures.family","value":3},{"type":"add","target":"relationships.originBond","value":-1},{"type":"tag","target":"history","value":"secret:42"}]	无	无	无	三代理混排复核完成；已发现项已修正
secret_43		familySecret	origin	年龄 32 起；人物 []；门槛 {"all":[],"any":[],"none":[]}	对账单能逐笔确认，停业没有让这些货款自动消失。	对账单能逐笔确认，停业没有让这些货款自动消失。	[{"type":"add","target":"originHousehold.debt","value":32000},{"type":"add","target":"pressures.family","value":7},{"type":"tag","target":"history","value":"secret:43"}]	无	无	无	三代理混排复核完成；已发现项已修正
secret_44		familySecret	origin	年龄 35 起；人物 []；门槛 {"all":[],"any":[],"none":[]}	两个人各自沉默多年，真相没有指向新的财产或亲属。	两个人各自沉默多年，真相没有指向新的财产或亲属。	[{"type":"add","target":"pressures.family","value":3},{"type":"add","target":"relationships.originBond","value":-1},{"type":"tag","target":"history","value":"secret:44"}]	无	无	无	三代理混排复核完成；已发现项已修正
beat_001		beat	education	年龄 6—10；人物 []；门槛 {"all":[],"any":[],"none":[]}	一年级课本发下来，你在扉页写了三遍名字。	一年级课本发下来，你在扉页写了三遍名字。	[{"type":"tag","target":"history","value":"education:school:1"},{"type":"add","target":"development.learningHabit","value":2}]	无	无	无	三代理混排复核完成；已发现项已修正
beat_002		beat	education	年龄 7—12；人物 []；门槛 {"all":[],"any":[],"none":[]}	家里腾出一块能摊开作业本的桌面。	家里腾出一块能摊开作业本的桌面。	[{"type":"tag","target":"history","value":"education:school:2"},{"type":"add","target":"development.learningHabit","value":3}]	无	无	无	三代理混排复核完成；已发现项已修正
beat_003		beat	education	年龄 8—14；人物 []；门槛 {"all":[],"any":[],"none":[]}	老师把你没听懂的题换了一种说法。	老师把你没听懂的题换了一种说法。	[{"type":"tag","target":"history","value":"education:school:3"},{"type":"add","target":"development.teacherSupport","value":4}]	无	无	无	三代理混排复核完成；已发现项已修正
beat_004		beat	education	年龄 9—15；人物 []；门槛 {"all":[],"any":[],"none":[]}	同桌借你橡皮，也把漏抄的作业递过来。	同桌借你橡皮，也把漏抄的作业递过来。	[{"type":"tag","target":"history","value":"education:school:4"},{"type":"add","target":"development.peerSupport","value":4}]	无	无	无	三代理混排复核完成；已发现项已修正
beat_005		beat	education	年龄 10—16；人物 []；门槛 {"all":[],"any":[],"none":[]}	你连续一周在同一时间收好书包。	你连续一周在同一时间收好书包。	[{"type":"tag","target":"history","value":"education:school:5"},{"type":"add","target":"development.learningHabit","value":4}]	无	无	无	三代理混排复核完成；已发现项已修正
beat_006		beat	education	年龄 11—17；人物 []；门槛 {"all":[],"any":[],"none":[]}	旧手机轮到你查资料时，只剩半小时电。	旧手机轮到你查资料时，只剩半小时电。	[{"type":"tag","target":"history","value":"education:school:6"},{"type":"add","target":"capabilities.learning","value":1}]	无	无	无	三代理混排复核完成；已发现项已修正
beat_007		beat	education	年龄 12—18；人物 []；门槛 {"all":[],"any":[],"none":[]}	一次小测没有考好，错题仍被认真订正。	一次小测没有考好，错题仍被认真订正。	[{"type":"tag","target":"history","value":"education:school:7"},{"type":"add","target":"development.learningHabit","value":2}]	无	无	无	三代理混排复核完成；已发现项已修正
beat_008		beat	education	年龄 13—18；人物 []；门槛 {"all":[],"any":[],"none":[]}	家长会后，有人问的不是名次而是近况。	家长会后，有人问的不是名次而是近况。	[{"type":"tag","target":"history","value":"education:school:8"},{"type":"add","target":"development.selfAdvocacy","value":2}]	无	无	无	三代理混排复核完成；已发现项已修正
beat_009		beat	education	年龄 6—10；人物 []；门槛 {"all":[],"any":[],"none":[]}	班群接龙到你时，前面已经全写了收到。	班群接龙到你时，前面已经全写了收到。	[{"type":"tag","target":"history","value":"education:school:9"},{"type":"add","target":"development.selfAdvocacy","value":1}]	无	无	无	三代理混排复核完成；已发现项已修正
beat_010		beat	education	年龄 7—12；人物 []；门槛 {"all":[],"any":[],"none":[]}	老师说自愿报名，表格却从第一排依次传来。	老师说自愿报名，表格却从第一排依次传来。	[{"type":"tag","target":"history","value":"education:school:10"},{"type":"add","target":"development.selfAdvocacy","value":1}]	无	无	无	三代理混排复核完成；已发现项已修正
beat_011		beat	education	年龄 8—14；人物 []；门槛 {"all":[],"any":[],"none":[]}	同学聊起补习班，你只认得其中一个名字。	同学聊起补习班，你只认得其中一个名字。	[{"type":"tag","target":"history","value":"education:school:11"},{"type":"add","target":"development.routeKnowledge","value":2}]	无	无	无	三代理混排复核完成；已发现项已修正
beat_012		beat	education	年龄 9—15；人物 []；门槛 {"all":[],"any":[],"none":[]}	运动会统一买鞋，费用单在书包里压了两天。	运动会统一买鞋，费用单在书包里压了两天。	[{"type":"tag","target":"history","value":"education:school:12"},{"type":"add","target":"development.careLoad","value":2},{"type":"add","target":"pressures.family","value":2}]	无	无	无	三代理混排复核完成；已发现项已修正
beat_013		beat	education	年龄 10—16；人物 []；门槛 {"all":[],"any":[],"none":[]}	小组分工时，你又拿到没人想做的那一项。	小组分工时，你又拿到没人想做的那一项。	[{"type":"tag","target":"history","value":"education:school:13"},{"type":"add","target":"development.selfAdvocacy","value":1}]	无	无	无	三代理混排复核完成；已发现项已修正
beat_014		beat	education	年龄 11—17；人物 []；门槛 {"all":[],"any":[],"none":[]}	公开念成绩之前，教室忽然安静了下来。	公开念成绩之前，教室忽然安静了下来。	[{"type":"tag","target":"history","value":"education:school:14"},{"type":"add","target":"development.selfAdvocacy","value":-1}]	无	无	无	三代理混排复核完成；已发现项已修正
beat_015		beat	education	年龄 12—18；人物 []；门槛 {"all":[],"any":[],"none":[]}	家长签字那一栏，你等到第二天才补上。	家长签字那一栏，你等到第二天才补上。	[{"type":"tag","target":"history","value":"education:school:15"},{"type":"add","target":"development.selfAdvocacy","value":1}]	无	无	无	三代理混排复核完成；已发现项已修正
beat_016		beat	education	年龄 13—18；人物 []；门槛 {"all":[],"any":[],"none":[]}	升学讲座结束，几张材料被别的家长拿走了。	升学讲座结束，几张材料被别的家长拿走了。	[{"type":"tag","target":"history","value":"education:school:16"},{"type":"add","target":"development.routeKnowledge","value":3}]	无	无	无	三代理混排复核完成；已发现项已修正
beat_017		beat	education	年龄 6—10；人物 []；门槛 {"all":[{"path":"development.severeSchoolHarm","op":"eq","value":false}],"any":[],"none":[]}	班级群里的截图传开后，外号跟进了教室。	班级群里的截图传开后，外号跟进了教室。	[{"type":"tag","target":"history","value":"education:school:17"},{"type":"set","target":"development.severeSchoolHarm","value":true},{"type":"set","target":"development.schoolHarmType","value":"bullying"},{"type":"add","target":"development.traumaLoad","value":18},{"type":"add","target":"development.attendance","value":-8},{"type":"add","target":"health.mental","value":-5}]	无	无	无	三代理混排复核完成；已发现项已修正
beat_018		beat	education	年龄 7—12；人物 []；门槛 {"all":[{"path":"development.severeSchoolHarm","op":"eq","value":false}],"any":[],"none":[]}	老师当众给你贴了标签，之后每次举手都更难。	老师当众给你贴了标签，之后每次举手都更难。	[{"type":"tag","target":"history","value":"education:school:18"},{"type":"set","target":"development.severeSchoolHarm","value":true},{"type":"set","target":"development.schoolHarmType","value":"teacher"},{"type":"add","target":"development.traumaLoad","value":16},{"type":"add","target":"development.teacherSupport","value":-12},{"type":"add","target":"health.mental","value":-5}]	无	无	无	三代理混排复核完成；已发现项已修正
beat_019		beat	education	年龄 8—14；人物 []；门槛 {"all":[],"any":[],"none":[]}	座位被反复调到角落，缺席也很少有人追问。	座位被反复调到角落，缺席也很少有人追问。	[{"type":"tag","target":"history","value":"education:school:19"},{"type":"add","target":"development.peerSupport","value":-6},{"type":"add","target":"development.selfAdvocacy","value":-2}]	无	无	无	三代理混排复核完成；已发现项已修正
beat_020		beat	education	年龄 9—15；人物 []；门槛 {"all":[{"path":"development.careLoad","op":"gte","value":15}],"any":[],"none":[]}	你要先照看家里的人，晚自习只能断断续续。	你要先照看家里的人，晚自习只能断断续续。	[{"type":"tag","target":"history","value":"education:school:20"},{"type":"add","target":"development.attendance","value":-5},{"type":"add","target":"development.careLoad","value":4}]	无	无	无	三代理混排复核完成；已发现项已修正
beat_021		beat	education	年龄 10—16；人物 []；门槛 {"all":[{"path":"originHousehold.context.housingStability","op":"lte","value":58}],"any":[],"none":[]}	一次搬家让上学路线多出两趟公交。	一次搬家让上学路线多出两趟公交。	[{"type":"tag","target":"history","value":"education:school:21"},{"type":"add","target":"development.attendance","value":-4},{"type":"add","target":"development.traumaLoad","value":3}]	无	无	无	三代理混排复核完成；已发现项已修正
beat_022		beat	education	年龄 11—17；人物 []；门槛 {"all":[{"path":"originHousehold.context.resources","op":"lte","value":55}],"any":[],"none":[]}	申请资助时，家里的难处要重新写给陌生人看。	申请资助时，家里的难处要重新写给陌生人看。	[{"type":"tag","target":"history","value":"education:school:22"},{"type":"expose","target":"development.routeExposure","value":"studentAid"},{"type":"add","target":"development.routeKnowledge","value":4},{"type":"add","target":"development.selfAdvocacy","value":2},{"type":"add","target":"pressures.family","value":2}]	无	无	无	三代理混排复核完成；已发现项已修正
beat_023		beat	education	年龄 12—18；人物 []；门槛 {"all":[{"path":"development.severeSchoolHarm","op":"eq","value":true},{"path":"development.schoolHarmResolved","op":"eq","value":false}],"any":[],"none":[]}	想转班的理由写满一页，交到办公室又被退回。	想转班的理由写满一页，交到办公室又被退回。	[{"type":"tag","target":"history","value":"education:school:23"},{"type":"add","target":"development.selfAdvocacy","value":4}]	无	无	无	三代理混排复核完成；已发现项已修正
beat_024		beat	education	年龄 13—18；人物 []；门槛 {"all":[],"any":[],"none":[]}	实训室和普通教室同时点名，你必须选一边。	实训室和普通教室同时点名，你必须选一边。	[{"type":"tag","target":"history","value":"education:school:24"},{"type":"expose","target":"development.routeExposure","value":"vocational"},{"type":"add","target":"development.routeKnowledge","value":4}]	无	无	无	三代理混排复核完成；已发现项已修正
beat_025		beat	education	年龄 6—10；人物 []；门槛 {"all":[],"any":[],"none":[]}	模考排名落下去后，家里先停掉了你唯一的兴趣课。	模考排名落下去后，家里先停掉了你唯一的兴趣课。	[{"type":"tag","target":"history","value":"education:school:25"},{"type":"add","target":"development.traumaLoad","value":4},{"type":"add","target":"pressures.family","value":4}]	无	无	无	三代理混排复核完成；已发现项已修正
beat_026		beat	education	年龄 7—12；人物 []；门槛 {"all":[],"any":[],"none":[]}	一位老师留下联系方式，说缺课前可以先找他。	一位老师留下联系方式，说缺课前可以先找他。	[{"type":"tag","target":"history","value":"education:school:26"},{"type":"expose","target":"development.routeExposure","value":"scholarship"},{"type":"add","target":"development.teacherSupport","value":8},{"type":"add","target":"development.selfAdvocacy","value":4},{"type":"add","target":"development.routeKnowledge","value":5}]	无	无	无	三代理混排复核完成；已发现项已修正
